order_id,customer_id,product_category,quantity,unit_price,total_amount,payment_method,shipping_region,delivery_days,customer_rating,discount_percent
1069,C019,Electronics,1,19.99,19.99,Debit Card,South,3,5,0
1070,C020,Books,1,47.99,47.99,PayPal,Midwest,5,4,10
1071,C021,Sports,1,39.99,39.99,Credit Card,South,6,4,0
1072,C022,Home,1,24.99,24.99,Credit Card,West,4,5,0
1073,C023,Clothing,4,9.99,39.96,Debit Card,South,4,5,5
1074,C024,Electronics,1,34.99,34.99,PayPal,West,3,4,0
1075,C025,Beauty,2,12.99,25.98,Credit Card,Midwest,5,5,0
1076,C026,Books,1,39.99,39.99,Credit Card,East,4,4,10
1077,C027,Sports,1,17.99,17.99,Debit Card,Midwest,3,5,0
1078,C028,Electronics,5,4.99,24.95,PayPal,West,4,4,0
1079,C029,Clothing,2,34.99,69.98,Credit Card,West,5,5,5
1080,C030,Home,1,32.99,32.99,Credit Card,West,4,4,0
1081,C031,Beauty,3,9.99,29.97,Debit Card,West,3,5,0
1082,C032,Electronics,1,89.99,89.99,PayPal,East,4,5,15
1083,C033,Books,1,44.99,44.99,Credit Card,Midwest,5,4,0
1084,C034,Sports,1,19.99,19.99,Credit Card,West,4,5,5
1085,C035,Clothing,1,59.99,59.99,Debit Card,East,3,4,0
1086,C036,Home,1,79.99,79.99,PayPal,East,4,4,10
1087,C037,Electronics,2,14.99,29.98,Credit Card,Midwest,3,5,0
1088,C038,Beauty,3,8.99,26.97,Credit Card,East,5,5,0
1089,C039,Books,1,49.99,49.99,Debit Card,West,4,4,5
1090,C040,Sports,1,27.99,27.99,PayPal,Midwest,4,5,0
1091,C041,Clothing,1,99.99,99.99,Credit Card,South,5,4,0
1092,C042,Electronics,1,19.99,19.99,Credit Card,Midwest,4,5,10
1093,C043,Home,1,64.99,64.99,Debit Card,South,3,4,0
1094,C044,Beauty,1,18.99,18.99,PayPal,South,5,5,0
1095,C045,Books,1,44.99,44.99,Credit Card,West,6,4,5
1096,C046,Sports,1,39.99,39.99,Credit Card,East,3,5,0
1097,C047,Clothing,1,24.99,24.99,Debit Card,West,7,4,0
1098,C048,Electronics,6,3.99,23.94,PayPal,West,4,4,10
1099,C049,Home,1,29.99,29.99,Credit Card,West,3,5,0
1100,C050,Beauty,1,19.99,19.99,Credit Card,West,4,5,5
1101,C001,Electronics,2,19.99,39.98,Credit Card,East,2,5,0
1102,C002,Clothing,1,44.99,44.99,PayPal,West,5,4,10
1103,C003,Home,3,9.99,29.97,Debit Card,Midwest,4,5,0
1104,C004,Electronics,1,24.99,24.99,Credit Card,South,3,4,0
1105,C005,Books,1,69.99,69.99,PayPal,West,5,5,5
1106,C006,Clothing,1,39.99,39.99,Credit Card,East,4,4,0
1107,C007,Sports,1,34.99,34.99,Debit Card,South,5,5,0
1108,C008,Electronics,2,14.99,29.98,Credit Card,West,2,4,0
1109,C009,Home,1,22.99,22.99,PayPal,South,4,5,10
1110,C010,Beauty,2,11.99,23.98,Credit Card,West,3,4,0
1111,C011,Electronics,1,24.99,24.99,Debit Card,South,3,5,5
1112,C012,Clothing,2,24.99,49.98,Credit Card,East,5,5,0
1113,C013,Books,1,54.99,54.99,PayPal,South,6,4,0
1114,C014,Sports,1,49.99,49.99,Credit Card,Midwest,4,5,10
1115,C015,Home,1,29.99,29.99,Debit Card,East,3,4,0
1116,C016,Electronics,1,34.99,34.99,PayPal,West,4,5,0
1117,C017,Beauty,2,14.99,29.98,Credit Card,West,5,4,5
1118,C018,Clothing,1,29.99,29.99,Credit Card,East,4,5,0
1119,C019,Electronics,1,24.99,24.99,Debit Card,South,3,4,0
1120,C020,Books,1,49.99,49.99,PayPal,Midwest,5,5,10
