user_id,date,activity_type,duration_minutes,calories_burned,distance_km,avg_heart_rate,steps,sleep_hours,water_intake_liters,weight_kg,bmi,fitness_goal,age,gender
U033,2024-01-29,Cycling,35,390,1.95,132,14871,5.9,3.6,86.1,33.5,Weight Loss,27,Male
U034,2024-07-15,CrossFit,66,421,0,151,17066,5.9,2.1,59.6,16.3,Muscle Gain,56,Female
U035,2024-02-21,Cycling,87,558,8.25,169,5204,7.5,1.5,76.8,22.9,Flexibility,41,Male
U036,2024-05-08,Walking,31,359,4.2,125,17514,5.9,3.0,80.5,21.9,Flexibility,24,Male
U037,2024-05-17,Running,94,750,8.92,119,2866,4.0,2.8,89.6,24.8,Endurance,26,Female
U038,2024-03-12,Running,39,240,2.36,135,9545,9.2,2.1,69.1,25.1,Weight Loss,55,Male
U039,2024-05-13,Yoga,45,434,0,96,18954,9.1,2.5,85.5,26.2,Flexibility,56,Male
U040,2024-06-13,HIIT,103,1049,0,106,7024,9.8,2.5,64.2,18.2,General Fitness,25,Male
U041,2024-04-30,Running,53,551,5.21,95,16136,7.0,2.1,84.5,22.6,Muscle Gain,55,Female
U042,2024-08-09,HIIT,27,202,0,169,3873,5.0,2.4,82.6,29.8,Endurance,21,Female
U043,2024-09-01,HIIT,109,947,0,114,19743,5.0,3.3,92.0,27.3,Muscle Gain,43,Male
U044,2024-06-12,Running,109,932,9.79,106,7514,6.2,3.8,101.7,31.2,Endurance,23,Female
U045,2024-07-26,Swimming,86,525,5.88,134,2282,8.5,2.6,71.2,20.4,Muscle Gain,37,Female
U046,2024-05-05,Swimming,85,669,9.26,122,7907,7.9,1.3,106.7,30.6,Endurance,23,Female
U047,2024-01-01,Swimming,91,462,4.67,143,14924,5.0,3.1,52.4,17.8,Endurance,39,Male
U048,2024-02-08,HIIT,70,445,0,98,17637,9.0,2.9,51.1,18.9,Weight Loss,23,Male
U049,2024-04-23,Weight Training,62,641,0,158,7820,4.8,1.9,77.8,31.0,Flexibility,18,Male
U050,2024-08-02,Walking,17,195,1.09,152,3221,5.9,1.8,56.7,17.0,Weight Loss,48,Female
U051,2024-08-04,Swimming,65,453,7.86,135,2338,4.1,2.0,77.8,29.3,Weight Loss,46,Female
U052,2024-02-17,Swimming,43,417,3.03,115,15446,4.7,2.9,97.6,35.7,Flexibility,37,Male
U053,2024-04-01,Weight Training,106,603,0,134,11044,9.4,1.9,104.9,39.5,Flexibility,48,Female
U054,2024-01-24,HIIT,76,885,0,94,15827,9.2,1.6,65.1,23.4,Endurance,45,Male
U055,2024-10-16,CrossFit,56,616,0,102,18764,7.3,1.1,55.2,15.5,Muscle Gain,29,Female
U056,2024-04-22,Swimming,20,223,1.57,118,16591,5.8,3.3,54.7,17.9,Endurance,40,Female
U057,2024-05-30,HIIT,116,739,0,139,10373,6.7,3.3,50.6,17.6,General Fitness,41,Male
U058,2024-05-16,Walking,112,667,11.87,95,11203,8.1,1.5,80.9,23.8,Weight Loss,59,Male
U059,2024-05-22,Running,91,670,9.11,133,12254,6.9,3.8,60.5,20.8,Muscle Gain,38,Male
U060,2024-07-29,Running,89,931,8.69,99,10580,8.0,1.1,79.3,24.2,Weight Loss,36,Male
U061,2024-10-04,CrossFit,79,923,0,156,10582,5.7,2.4,73.8,25.5,Flexibility,59,Female
U062,2024-02-04,Walking,47,529,6.34,106,14704,8.5,2.2,105.5,28.9,Endurance,60,Female
U063,2024-10-22,Cycling,81,616,8.24,167,3099,9.6,1.4,78.5,23.5,Weight Loss,18,Female
U064,2024-08-07,HIIT,20,197,0,161,14617,4.1,3.9,71.8,21.0,Weight Loss,39,Male
U065,2024-08-13,Weight Training,105,707,0,124,15920,7.6,1.7,51.6,17.0,Muscle Gain,19,Female
U066,2024-08-31,CrossFit,104,1096,0,105,19956,9.6,1.5,61.0,20.8,General Fitness,59,Female
U067,2024-01-24,Cycling,93,475,9.41,155,18615,6.6,1.7,95.6,28.8,Flexibility,48,Male
U068,2024-06-14,Walking,41,292,5.38,155,18505,8.5,4.0,51.4,14.4,Weight Loss,60,Female
U069,2024-10-06,Swimming,32,345,3.82,97,10597,7.9,2.7,95.9,27.8,Flexibility,46,Male
U070,2024-01-08,Walking,65,418,8.7,98,15179,8.6,2.7,107.7,29.6,Flexibility,30,Male
U071,2024-04-14,Cycling,101,1208,13.3,110,18073,4.7,1.5,92.1,24.6,Muscle Gain,47,Male
U072,2024-10-27,CrossFit,109,1242,0,90,19494,6.5,3.5,86.6,33.1,Endurance,28,Male
U073,2024-06-03,Weight Training,106,1046,0,158,9681,9.8,1.3,96.3,25.8,General Fitness,19,Male
U074,2024-06-23,Yoga,60,625,0,168,15714,6.7,4.0,85.9,34.6,General Fitness,46,Male
U075,2024-05-05,Running,62,422,6.87,110,10898,5.4,3.7,94.5,34.2,Weight Loss,27,Male
U076,2024-05-18,CrossFit,107,938,0,143,17449,7.0,3.8,73.2,25.3,Muscle Gain,25,Female
U077,2024-08-17,Running,28,214,3.78,164,6650,9.4,3.0,55.6,23.1,Weight Loss,25,Female
U078,2024-01-17,Running,91,1077,8.3,128,3393,6.7,1.1,51.9,16.0,General Fitness,58,Male
U079,2024-05-31,CrossFit,35,273,0,157,7426,7.6,2.2,60.4,16.8,Endurance,51,Female
U080,2024-08-27,Running,99,1084,9.48,156,18634,8.0,3.9,107.1,40.6,Endurance,23,Male
U081,2024-01-08,Walking,84,421,12.07,104,14611,9.2,1.5,78.3,26.9,General Fitness,20,Male
U082,2024-06-15,Running,45,421,4.3,112,15804,5.2,3.7,65.9,24.0,General Fitness,42,Male
U083,2024-03-14,Yoga,57,683,0,152,2192,4.5,1.0,94.8,27.0,Endurance,28,Female
U084,2024-01-05,Weight Training,67,614,0,164,4949,9.6,1.5,63.4,22.0,Muscle Gain,53,Female
U085,2024-05-30,CrossFit,66,710,0,97,10189,7.7,2.9,76.9,29.9,Muscle Gain,42,Female
U086,2024-09-29,Swimming,112,1258,9.05,135,13628,5.3,3.3,65.4,19.1,Flexibility,41,Female
U087,2024-09-12,Running,46,511,6.1,124,18712,7.3,1.4,102.5,32.4,Muscle Gain,51,Female
U088,2024-08-25,Yoga,106,826,0,109,8474,9.8,1.7,52.3,17.9,General Fitness,57,Female
U089,2024-03-30,Yoga,89,490,0,137,12171,7.4,2.5,104.7,28.9,Muscle Gain,21,Female
U090,2024-10-18,Swimming,92,797,6.3,142,6220,4.1,2.3,54.4,18.1,General Fitness,44,Male
U091,2024-05-06,Weight Training,59,450,0,165,7056,7.5,3.2,97.5,28.7,Muscle Gain,38,Female
U092,2024-05-10,Walking,86,739,10.41,147,8137,6.2,3.3,50.7,19.8,General Fitness,29,Male
U093,2024-02-13,Yoga,92,983,0,102,12727,5.2,2.6,61.4,17.8,Muscle Gain,26,Female
U094,2024-02-04,Running,18,90,1.02,128,3627,7.9,3.0,78.0,26.7,Endurance,59,Male
U095,2024-03-18,Running,51,515,5.43,117,11847,4.7,1.6,98.7,32.3,General Fitness,48,Male
U096,2024-05-31,Running,90,836,8.41,131,14574,5.8,3.2,90.0,26.9,Weight Loss,39,Male
U097,2024-02-22,Running,81,508,6.78,119,3015,7.4,2.5,75.6,23.5,General Fitness,34,Female
U098,2024-01-03,Swimming,87,1007,11.55,159,3112,7.9,3.6,74.1,28.8,Weight Loss,48,Female
U099,2024-09-02,Weight Training,95,1096,0,147,15385,6.5,3.8,75.8,26.8,Muscle Gain,59,Female
U100,2024-04-09,Running,54,363,7.77,152,10441,4.7,1.5,63.5,25.5,Flexibility,60,Female
U101,2024-04-25,Walking,27,137,2.69,153,8437,7.9,1.2,109.4,38.3,Flexibility,23,Male
U102,2024-04-07,Running,33,325,4.4,164,4325,7.5,2.5,61.6,20.5,Endurance,29,Female
U103,2024-09-30,Yoga,50,546,0,126,2002,8.7,2.5,51.5,15.0,Flexibility,26,Male
U104,2024-08-29,HIIT,23,263,0,90,17415,6.5,1.2,95.4,38.3,Weight Loss,53,Female
U105,2024-05-10,Cycling,76,749,11.1,111,19636,7.6,1.2,71.1,26.9,Weight Loss,56,Male
U106,2024-08-19,HIIT,80,400,0,134,19845,8.5,3.2,98.5,35.0,Endurance,35,Female
U107,2024-01-06,HIIT,46,423,0,104,15053,4.3,2.5,78.4,31.8,General Fitness,33,Male
U108,2024-10-06,Yoga,55,618,0,105,19680,5.7,1.1,95.7,29.8,Muscle Gain,29,Male
U109,2024-05-22,Running,102,659,9.0,110,3307,5.4,2.1,99.2,31.6,Weight Loss,60,Female
U110,2024-04-15,Running,34,263,2.24,133,4966,9.8,2.1,91.5,27.2,Muscle Gain,33,Female
U111,2024-01-28,Walking,31,198,4.44,167,17349,5.8,3.6,80.2,26.1,Flexibility,49,Male
U112,2024-05-24,CrossFit,20,183,0,95,5849,7.6,2.8,82.5,24.4,Muscle Gain,23,Male
U113,2024-10-14,Weight Training,102,1121,0,108,14772,6.3,1.3,82.2,26.2,Weight Loss,39,Male
U114,2024-03-22,Walking,45,283,2.79,166,15214,4.2,4.0,97.9,29.6,Muscle Gain,19,Female
U115,2024-01-30,Weight Training,91,1031,0,90,17599,6.9,1.8,92.7,33.3,General Fitness,26,Male
U116,2024-07-17,Cycling,71,728,5.6,99,13106,8.4,2.7,75.3,21.6,Flexibility,26,Female
U117,2024-09-30,Swimming,46,335,5.79,138,2090,6.2,3.9,58.3,20.1,Endurance,19,Male
U118,2024-01-27,HIIT,77,823,0,147,2194,5.3,2.2,74.1,26.2,Flexibility,33,Male
U119,2024-08-07,Walking,65,433,8.64,137,3442,4.8,2.6,88.5,27.0,Endurance,18,Male
U120,2024-01-12,Running,42,382,4.59,111,3923,8.8,1.7,51.7,18.0,General Fitness,34,Female
U121,2024-04-05,Swimming,103,659,14.86,137,17318,8.2,2.1,101.4,32.0,Flexibility,20,Male
U122,2024-03-11,Walking,20,118,2.93,134,18154,9.6,3.0,65.5,23.8,Weight Loss,38,Female
U123,2024-10-07,Yoga,103,720,0,132,9377,7.1,1.4,51.0,16.2,General Fitness,42,Female
U124,2024-07-08,HIIT,82,531,0,126,12819,6.4,2.2,102.0,31.9,Muscle Gain,25,Female
U125,2024-03-12,CrossFit,21,151,0,142,14448,4.1,3.9,74.5,21.2,Endurance,52,Female
U126,2024-02-02,Running,72,365,6.83,109,15814,9.4,2.2,57.9,20.2,Endurance,50,Female
U127,2024-09-11,Running,24,182,1.68,90,4223,6.6,3.0,88.1,35.0,Weight Loss,38,Female
U128,2024-06-06,Running,59,512,6.33,137,6225,5.1,1.9,62.6,19.6,Flexibility,54,Female
U129,2024-08-27,Running,105,800,8.02,136,9005,4.6,3.4,91.7,24.2,General Fitness,21,Female
U130,2024-06-02,CrossFit,30,270,0,100,19193,7.8,2.6,76.1,22.3,Flexibility,55,Male
U131,2024-10-13,Walking,57,439,3.55,120,8383,9.3,3.1,79.7,24.6,Flexibility,43,Male
U132,2024-02-15,HIIT,102,844,0,113,9958,10.0,3.1,100.9,28.8,General Fitness,34,Male
U133,2024-03-14,Running,118,1120,12.55,110,2836,7.6,2.3,64.5,24.4,General Fitness,48,Male
U134,2024-03-24,Swimming,41,367,5.58,127,10489,4.2,3.6,105.3,37.4,Flexibility,47,Female
U135,2024-03-10,Swimming,48,295,4.67,120,7224,5.3,2.6,70.3,27.2,Muscle Gain,29,Male
U136,2024-04-18,Cycling,47,461,2.35,144,8189,5.4,3.4,81.0,29.1,Endurance,49,Male
U137,2024-07-18,Swimming,92,465,10.79,132,12521,9.2,2.0,66.1,23.2,Weight Loss,46,Female
U138,2024-05-05,Walking,87,855,9.76,115,9246,4.7,1.0,99.9,28.7,Muscle Gain,27,Male
U139,2024-09-16,Walking,95,956,6.18,106,18146,6.7,2.4,62.2,24.9,Weight Loss,43,Female
U140,2024-06-20,Yoga,108,901,0,146,2113,5.2,2.1,64.3,18.4,General Fitness,38,Male
U141,2024-09-10,Yoga,32,301,0,100,3231,7.8,3.4,67.9,27.5,Endurance,19,Female
U142,2024-08-08,CrossFit,115,1185,0,154,7472,6.6,2.3,72.3,19.6,Muscle Gain,18,Male
U143,2024-05-14,Weight Training,105,822,0,155,13692,7.8,3.4,106.6,29.4,Flexibility,22,Female
U144,2024-10-19,CrossFit,49,353,0,152,8844,4.6,3.8,108.9,32.5,Flexibility,54,Female
U145,2024-05-24,Cycling,47,431,5.67,144,3126,7.5,2.9,68.9,24.5,General Fitness,60,Male
U146,2024-07-14,Swimming,120,950,16.47,127,9093,4.8,3.2,108.5,39.7,Weight Loss,26,Male
U147,2024-06-22,Swimming,106,936,12.76,158,4445,8.0,3.7,69.8,25.2,Muscle Gain,34,Male
U148,2024-06-04,Running,104,573,12.32,145,7352,4.8,1.6,85.5,27.5,Flexibility,37,Male
U149,2024-03-06,Swimming,58,451,5.57,154,18111,4.4,2.5,80.1,31.0,Muscle Gain,46,Female
U150,2024-04-12,Running,57,547,8.39,127,4208,6.3,1.1,91.9,24.3,Endurance,54,Female
U151,2024-06-15,Walking,54,446,7.99,166,19579,9.8,3.9,73.5,21.4,General Fitness,45,Female
U152,2024-08-15,Yoga,87,907,0,139,8317,9.3,2.6,108.3,30.2,Muscle Gain,30,Female
U153,2024-07-01,Cycling,21,228,1.17,108,15670,4.5,2.2,50.4,17.1,Endurance,46,Female
U154,2024-02-21,Yoga,57,484,0,156,15061,5.9,3.3,71.5,23.4,Muscle Gain,34,Female
U155,2024-03-08,Walking,50,252,2.76,157,16627,6.0,3.4,74.9,24.1,Endurance,21,Female
U156,2024-09-19,Cycling,68,522,5.14,103,7043,5.1,1.8,68.2,27.4,General Fitness,57,Female
U157,2024-04-29,Yoga,15,90,0,115,8605,7.2,3.7,109.9,45.3,Endurance,48,Male
U158,2024-04-18,Cycling,72,370,5.37,114,3493,9.3,1.9,106.2,40.9,General Fitness,59,Female
U159,2024-05-22,Running,37,196,4.42,96,19712,7.7,2.6,51.8,16.1,Weight Loss,31,Female
U160,2024-09-06,Running,89,924,10.13,167,17585,7.6,3.6,105.2,28.9,Muscle Gain,35,Female
U161,2024-06-30,Swimming,86,591,6.1,139,10857,7.2,1.9,104.9,34.8,Flexibility,49,Female
U162,2024-10-07,Running,88,638,10.03,118,10231,8.1,3.7,85.1,26.2,Weight Loss,26,Female
U163,2024-03-12,Running,36,360,2.7,108,3451,8.8,3.9,71.2,22.9,Endurance,51,Female
U164,2024-09-29,Running,74,469,6.01,95,9450,4.6,3.2,89.9,29.7,Flexibility,47,Female
U165,2024-03-22,HIIT,29,278,0,98,18825,9.4,3.2,109.6,32.9,Muscle Gain,18,Male
U166,2024-04-22,HIIT,115,1091,0,140,18852,8.8,1.8,84.2,32.3,Muscle Gain,45,Male
U167,2024-04-17,HIIT,107,945,0,169,11173,5.0,2.3,78.8,21.3,Weight Loss,46,Male
U168,2024-02-16,Running,64,500,8.6,117,4832,6.2,3.9,81.8,22.5,Flexibility,52,Male
U169,2024-01-12,Yoga,114,687,0,138,13855,8.9,2.7,74.9,23.9,Flexibility,27,Male
U170,2024-03-28,Swimming,73,735,5.26,150,5900,6.7,2.5,84.8,22.5,Muscle Gain,48,Male
U171,2024-08-17,Running,105,1122,13.26,144,12366,8.9,3.6,92.9,28.6,Weight Loss,60,Female
U172,2024-09-25,CrossFit,72,652,0,123,4313,7.8,2.3,79.8,28.4,Weight Loss,52,Male
U173,2024-10-24,CrossFit,110,711,0,155,4172,6.1,1.2,79.6,32.2,Endurance,41,Female
U174,2024-01-09,Swimming,66,711,4.69,123,18768,6.7,1.6,51.4,19.8,Flexibility,43,Male
U175,2024-06-19,Swimming,45,412,5.32,113,5752,9.6,3.4,86.2,26.5,Weight Loss,53,Male
U176,2024-09-07,Swimming,87,829,9.05,139,5220,7.1,1.4,98.5,30.1,Weight Loss,43,Female
U177,2024-04-28,Running,30,159,3.26,118,17762,8.7,2.8,58.6,18.7,Muscle Gain,35,Female
U178,2024-07-30,Yoga,92,1040,0,95,9949,8.3,1.1,79.4,26.4,General Fitness,32,Male
U179,2024-04-21,HIIT,60,590,0,91,17952,6.7,3.2,96.0,27.0,Weight Loss,38,Female
U180,2024-09-01,HIIT,95,503,0,130,16417,8.1,1.1,57.6,22.9,General Fitness,56,Male
U181,2024-02-09,Yoga,105,1129,0,123,3465,5.9,3.9,82.2,32.4,Endurance,22,Female
U182,2024-04-11,CrossFit,21,200,0,103,6993,9.6,3.9,97.6,27.3,Flexibility,52,Female
U183,2024-08-16,Cycling,56,526,5.0,158,4446,8.5,2.7,76.3,21.2,General Fitness,21,Male
U184,2024-10-21,Weight Training,96,1134,0,170,10749,6.1,2.5,65.8,17.5,Endurance,19,Male
U185,2024-09-12,Walking,107,1176,15.56,92,4175,6.6,3.8,86.8,28.6,General Fitness,60,Male
U186,2024-02-23,Cycling,60,544,5.99,147,7248,7.6,3.1,58.8,19.7,General Fitness,43,Male
U187,2024-04-26,Running,32,286,1.88,161,14068,9.5,3.0,88.6,23.3,Muscle Gain,29,Female
U188,2024-07-18,Cycling,63,691,7.79,98,13369,7.8,1.8,64.8,21.8,Weight Loss,47,Male
U189,2024-07-01,Yoga,52,549,0,150,10342,6.3,3.2,70.7,21.8,General Fitness,36,Male
U190,2024-03-25,CrossFit,49,499,0,168,5765,6.5,2.3,70.2,18.9,Weight Loss,50,Male
U191,2024-07-16,Walking,87,771,9.97,126,5240,5.4,3.3,100.3,30.4,Weight Loss,55,Female
U192,2024-03-05,Weight Training,103,866,0,147,11430,4.2,4.0,85.5,25.3,General Fitness,43,Female
U193,2024-01-16,Weight Training,40,415,0,93,6966,6.5,3.6,70.9,19.2,General Fitness,59,Female
U194,2024-08-10,Swimming,29,258,2.0,138,16824,6.8,2.8,72.7,24.7,Weight Loss,18,Male
U195,2024-03-06,HIIT,110,853,0,120,11105,5.0,3.9,51.9,14.9,Muscle Gain,32,Female
U196,2024-01-09,Running,24,271,1.7,146,15873,7.3,3.7,79.3,24.6,Weight Loss,48,Female
U197,2024-06-28,Cycling,56,338,4.5,141,5941,5.6,1.1,59.9,22.1,Weight Loss,47,Female
U198,2024-04-21,Walking,61,490,4.92,138,3721,4.7,2.2,79.4,31.0,Weight Loss,54,Female
U199,2024-02-17,Walking,93,877,7.96,110,7986,6.9,2.3,101.0,36.9,Endurance,56,Male
U200,2024-04-16,Running,42,482,6.17,160,12596,4.0,1.5,98.1,34.5,Endurance,36,Female
U001,2024-02-03,Walking,76,454,7.85,158,9493,7.4,1.9,95.3,25.5,Endurance,41,Female
U002,2024-08-22,Walking,108,1098,6.3,151,11581,7.5,1.6,71.5,28.1,General Fitness,51,Female
U003,2024-08-10,HIIT,42,228,0,91,11486,4.1,2.0,64.6,21.1,Flexibility,24,Male
U004,2024-06-08,Running,104,904,9.09,96,3958,4.6,3.1,78.8,29.0,Muscle Gain,55,Male
U005,2024-01-08,HIIT,26,300,0,122,9498,6.6,2.6,60.2,23.8,Flexibility,53,Male
U006,2024-01-28,CrossFit,27,143,0,141,19186,5.9,1.9,69.8,23.3,Flexibility,59,Male
U007,2024-07-25,Swimming,69,742,7.98,121,4362,6.2,1.8,92.4,34.8,Weight Loss,21,Male
U008,2024-01-10,Weight Training,21,132,0,154,16147,9.2,3.9,91.5,32.3,Endurance,26,Male
U009,2024-05-11,Yoga,109,617,0,127,7026,4.2,2.2,52.2,18.6,Endurance,55,Male
U010,2024-05-22,Running,27,320,2.43,121,8743,9.1,2.6,57.7,16.1,Weight Loss,20,Female
U011,2024-01-24,Weight Training,90,532,0,112,3546,6.2,1.4,51.7,13.8,Weight Loss,25,Male
U012,2024-02-29,Yoga,83,593,0,118,5310,5.2,2.9,71.8,23.3,Muscle Gain,28,Male
U013,2024-06-01,Yoga,57,617,0,142,11283,6.0,1.6,61.1,20.9,General Fitness,46,Female
U014,2024-07-01,Running,37,253,3.74,144,8334,5.6,3.2,93.8,29.5,Muscle Gain,45,Female
U015,2024-08-29,CrossFit,95,1076,0,121,11067,8.0,2.7,87.5,33.3,Muscle Gain,40,Female
U016,2024-07-18,Cycling,57,559,8.53,141,14154,8.9,2.7,54.0,17.7,Muscle Gain,41,Male
U017,2024-10-24,Running,94,1072,8.61,103,10735,6.8,4.0,63.2,21.6,Endurance,28,Female
U018,2024-10-24,CrossFit,114,1361,0,124,14904,6.6,2.0,64.0,24.0,Flexibility,26,Female
U019,2024-03-21,Weight Training,34,238,0,139,18182,9.5,1.5,56.2,18.6,Flexibility,59,Female
U020,2024-09-13,Weight Training,110,1031,0,118,12616,5.6,3.8,67.2,21.5,Flexibility,33,Male
U021,2024-10-06,Walking,115,656,14.15,108,11700,7.4,2.8,64.2,20.0,Weight Loss,44,Male
U022,2024-08-24,HIIT,43,417,0,154,4729,4.6,3.7,80.9,30.5,Weight Loss,19,Male
U023,2024-02-18,Running,78,830,7.6,138,3931,6.8,1.5,99.8,41.5,Endurance,52,Female
U024,2024-03-03,CrossFit,85,962,0,92,6585,6.3,1.8,62.5,24.3,Endurance,43,Male
U025,2024-03-25,Yoga,115,1197,0,140,8027,5.9,1.8,58.6,18.5,Flexibility,36,Female
U026,2024-06-02,Walking,41,468,2.83,103,17073,4.8,3.8,101.6,31.9,Weight Loss,31,Female
U027,2024-10-17,Yoga,79,863,0,100,5599,5.1,2.2,104.7,31.0,Flexibility,23,Female
U028,2024-07-18,CrossFit,101,523,0,160,9346,5.3,1.7,56.7,22.4,Weight Loss,28,Female
U029,2024-04-28,Running,29,226,3.53,162,10916,8.4,1.1,95.3,36.0,Endurance,35,Male
U030,2024-10-15,CrossFit,100,793,0,151,8721,9.7,1.8,97.7,35.3,General Fitness,34,Male
U031,2024-01-06,Running,24,265,2.38,117,3235,4.4,1.8,82.7,32.7,Endurance,55,Male
U032,2024-03-01,Running,21,229,2.43,110,3266,4.9,2.7,102.9,28.8,Flexibility,52,Male
U033,2024-06-17,Cycling,94,866,7.02,108,5997,9.7,3.3,65.5,18.0,Endurance,53,Female
U034,2024-02-21,Swimming,22,142,1.53,144,4011,8.2,2.7,90.3,29.7,Muscle Gain,52,Female
U035,2024-06-07,Running,25,181,2.45,101,18236,4.7,3.6,97.0,38.4,Weight Loss,26,Female
U036,2024-09-30,CrossFit,100,1107,0,110,19064,7.3,3.0,67.4,26.4,Flexibility,58,Female
U037,2024-05-30,HIIT,32,363,0,99,8983,9.8,2.4,80.6,26.4,Flexibility,30,Male
U038,2024-07-13,Weight Training,85,894,0,100,3229,9.5,2.5,86.9,34.2,Weight Loss,54,Female
U039,2024-01-27,Swimming,46,436,2.85,126,3569,4.5,1.7,105.2,39.3,Flexibility,56,Female
U040,2024-06-08,Swimming,64,349,6.71,134,13047,5.0,2.0,95.5,31.2,Weight Loss,18,Male
U041,2024-07-02,HIIT,51,428,0,98,17287,7.5,2.8,86.8,28.1,Flexibility,42,Female
U042,2024-07-06,Weight Training,22,114,0,103,13165,6.6,2.0,89.8,30.7,Endurance,50,Female
U043,2024-01-14,Swimming,38,309,4.65,148,7113,6.3,1.4,89.2,30.4,Endurance,42,Male
U044,2024-01-03,CrossFit,17,163,0,100,11635,9.2,3.0,66.5,18.7,Flexibility,50,Female
U045,2024-07-28,Swimming,48,253,5.76,146,5362,9.3,1.0,88.3,25.1,General Fitness,56,Male
U046,2024-02-26,Yoga,117,1207,0,152,6442,7.2,1.0,74.5,28.1,Weight Loss,40,Male
U047,2024-09-26,Swimming,44,263,2.85,112,7079,5.7,2.6,78.3,21.8,Muscle Gain,40,Female
U048,2024-02-22,Running,15,103,0.81,160,10781,6.7,3.4,63.7,17.5,Weight Loss,33,Female
U049,2024-09-28,Running,120,1316,15.29,114,12442,9.8,3.8,105.7,40.5,General Fitness,26,Male
U050,2024-01-15,Walking,52,302,6.24,136,18035,7.3,1.1,95.6,30.9,Muscle Gain,52,Male
U051,2024-09-18,Cycling,18,202,1.08,126,12794,5.5,1.2,70.0,20.4,Weight Loss,59,Female
U052,2024-09-18,Yoga,75,666,0,148,11431,8.4,2.9,83.0,31.6,General Fitness,57,Male
U053,2024-03-15,Running,64,419,5.4,161,2817,8.0,1.7,83.5,24.2,Weight Loss,32,Female
U054,2024-09-09,Yoga,45,483,0,141,2450,5.9,2.0,69.4,24.4,Endurance,55,Female
U055,2024-07-02,Running,84,866,5.77,90,15733,7.6,2.3,88.3,26.5,Muscle Gain,51,Female
